Material_ID,Material_Description,Category,Unit_Price,Stock_Quantity,Vendor_Code,Last_Updated,Active_Status
1036,Product_1036,Alcohol,274.73,432,V003,2025-11-10 11:05:32.730849,
1037,Product_1037,Snacks,445.25,785,V004,2025-11-09 11:05:32.730851,
1038,Product_1038,Snacks,456.93,919,V003,2025-11-08 11:05:32.730853,Y
1039,Product_1039,Snacks,184.75,289,V003,2025-11-07 11:05:32.730855,Y
1040,Product_1040,Snacks,319.36,357,V001,2025-11-06 11:05:32.730856,N
1041,Product_1041,Snacks,232.89,263,V001,2025-11-05 11:05:32.730859,Y
1042,Product_1042,Alcohol,253.48,880,V001,2025-11-04 11:05:32.730861,N
1043,Product_1043,Beverages,26.09,597,V004,2025-11-03 11:05:32.730863,Y
1044,Product_1044,Snacks,92.85,422,V005,2025-11-02 11:05:32.730865,Y
1045,Product_1045,Merchandise,150.08,496,V004,2025-11-01 11:05:32.730867,Y
1046,Product_1046,Alcohol,317.88,909,V001,2025-10-31 11:05:32.730869,Y
1047,Product_1047,Snacks,376.26,209,V004,2025-10-30 11:05:32.730871,N
1048,Product_1048,Snacks,471.58,875,V001,2025-10-29 11:05:32.730873,N
1049,Product_1049,Merchandise,222.64,808,V003,2025-10-28 11:05:32.730875,N
1050,Product_1050,Merchandise,356.65,481,V004,2025-10-27 11:05:32.730877,Y
1051,Product_1051,Merchandise,230.57,206,V001,2025-10-26 11:05:32.730879,N
1052,Product_1052,Raw Material,39.34,477,V005,2025-10-25 11:05:32.730881,
1053,Product_1053,Alcohol,250.4,757,V002,2025-10-24 11:05:32.730883,Y
1054,Product_1054,Raw Material,258.36,815,V001,2025-10-23 11:05:32.730885,N
1055,Product_1055,Alcohol,96.81,615,V002,2025-10-22 11:05:32.730887,Y
1056,Product_1056,Raw Material,345.31,591,V002,2025-10-21 11:05:32.730889,N
1057,Product_1057,Merchandise,454.34,695,V005,2025-10-20 11:05:32.730891,
1058,Product_1058,Snacks,393.33,710,V001,2025-10-19 11:05:32.730893,Y
1059,Product_1059,Snacks,379.26,247,V001,2025-10-18 11:05:32.730895,N
1060,Product_1060,Beverages,199.0,738,V003,2025-10-17 11:05:32.730897,N
1061,Product_1061,Beverages,458.68,339,V005,2025-10-16 11:05:32.730899,
1062,Product_1062,Beverages,489.69,293,V001,2025-10-15 11:05:32.730901,N
1063,Product_1063,Merchandise,275.04,373,V001,2025-10-14 11:05:32.730903,N
1064,Product_1064,Snacks,259.29,770,V001,2025-10-13 11:05:32.730905,
1065,Product_1065,Raw Material,15.9,985,V001,2025-10-12 11:05:32.730907,Y
1066,Product_1066,Merchandise,453.09,402,V004,2025-10-11 11:05:32.730910,Y
1067,Product_1067,Merchandise,86.21,780,V003,2025-10-10 11:05:32.730911,
1068,Product_1068,Raw Material,168.57,561,V001,2025-10-09 11:05:32.730913,N
1069,Product_1069,Merchandise,254.71,13,V002,2025-10-08 11:05:32.730915,Y
1070,Product_1070,Snacks,371.51,900,V002,2025-10-07 11:05:32.730917,N
1071,Product_1071,Merchandise,484.35,66,V003,2025-10-06 11:05:32.730919,
1072,Product_1072,Snacks,162.85,633,V002,2025-10-05 11:05:32.730921,N
1073,Product_1073,Raw Material,152.86,321,V004,2025-10-04 11:05:32.730923,Y
1074,Product_1074,Snacks,430.55,202,V004,2025-10-03 11:05:32.730925,Y
1075,Product_1075,Snacks,149.52,89,V001,2025-10-02 11:05:32.730927,Y
1076,Product_1076,Merchandise,407.3,514,V003,2025-10-01 11:05:32.730929,Y
1077,Product_1077,Alcohol,395.17,63,V003,2025-09-30 11:05:32.730935,Y
1078,Product_1078,Raw Material,250.64,27,V005,2025-09-29 11:05:32.730937,N
1079,Product_1079,Beverages,355.75,720,V003,2025-09-28 11:05:32.730939,
1080,Product_1080,Merchandise,464.32,684,V005,2025-09-27 11:05:32.730941,
1081,Product_1081,Snacks,326.14,264,V004,2025-09-26 11:05:32.730943,N
1082,Product_1082,Beverages,264.31,582,V002,2025-09-25 11:05:32.730945,Y
1083,Product_1083,Snacks,68.3,737,V005,2025-09-24 11:05:32.730947,N
1084,Product_1084,Snacks,202.71,844,V002,2025-09-23 11:05:32.730949,Y
1085,Product_1085,Alcohol,280.45,353,V005,2025-09-22 11:05:32.730951,N
1086,Product_1086,Merchandise,60.33,556,V002,2025-09-21 11:05:32.730953,
1087,Product_1087,Raw Material,34.95,385,V001,2025-09-20 11:05:32.730955,Y
1088,Product_1088,Raw Material,206.9,706,V003,2025-09-19 11:05:32.730958,N
1089,Product_1089,Beverages,58.62,855,V003,2025-09-18 11:05:32.730960,Y
1090,Product_1090,Beverages,462.78,603,V005,2025-09-17 11:05:32.730962,N
1091,Product_1091,Raw Material,379.12,110,V003,2025-09-16 11:05:32.730964,
1092,Product_1092,Beverages,452.66,762,V002,2025-09-15 11:05:32.730966,
1093,Product_1093,Alcohol,368.66,468,V005,2025-09-14 11:05:32.730969,Y
1094,Product_1094,Alcohol,219.52,484,V001,2025-09-13 11:05:32.730971,Y
1095,Product_1095,Alcohol,359.03,183,V005,2025-09-12 11:05:32.730973,
1096,Product_1096,Merchandise,176.87,745,V001,2025-09-11 11:05:32.730975,N
1097,Product_1097,Merchandise,223.4,764,V004,2025-09-10 11:05:32.730977,N
1098,Product_1098,Alcohol,224.73,727,V001,2025-09-09 11:05:32.730979,N
1099,Product_1099,Snacks,429.33,905,V002,2025-09-08 11:05:32.730981,
1000,Product_1100,Alcohol,256.26,168,V005,2025-09-07 11:05:32.730983,
1000,Product_1101,Merchandise,77.33,514,V004,2025-09-06 11:05:32.730985,
1000,Product_1102,Snacks,293.95,689,V003,2025-09-05 11:05:32.730987,Y
1000,Product_1103,Snacks,20.03,310,V005,2025-09-04 11:05:32.730989,Y
1000,Product_1104,Alcohol,12.97,878,V005,2025-09-03 11:05:32.730991,N
1000,Product_1105,Raw Material,53.93,291,V001,2025-09-02 11:05:32.730993,Y
1106,Product_1106,Snacks,37.45,153,V003,2025-09-01 11:05:32.730995,Y
1107,Product_1107,Alcohol,124.44,753,V002,2025-08-31 11:05:32.730997,Y
1108,Product_1108,Snacks,11.3,266,V001,2025-08-30 11:05:32.730999,
1109,Product_1109,Alcohol,33.2,375,V001,2025-08-29 11:05:32.731002,N
1110,Product_1110,Merchandise,154.83,983,V002,2025-08-28 11:05:32.731005,N
1111,Product_1111,Snacks,460.27,557,V005,2025-08-27 11:05:32.731006,Y
1112,Product_1112,Alcohol,193.99,836,V002,2025-08-26 11:05:32.731009,Y
1113,Product_1113,Snacks,29.51,-6,V003,2025-08-25 11:05:32.731010,
1114,Product_1114,Beverages,274.21,791,V004,2025-08-24 11:05:32.731012,
1115,Product_1115,Alcohol,222.03,761,V002,2025-08-23 11:05:32.731014,N
1116,Product_1116,Snacks,329.16,456,V005,2025-08-22 11:05:32.731016,N
1117,Product_1117,Merchandise,385.63,-9,V003,2025-08-21 11:05:32.731018,Y
1118,Product_1118,Merchandise,379.2,552,V002,2025-08-20 11:05:32.731020,N
1119,Product_1119,Raw Material,237.43,996,V001,2025-08-19 11:05:32.731022,
1120,Product_1120,Alcohol,39.62,327,V001,2025-08-18 11:05:32.731024,
1121,Product_1121,Merchandise,91.58,248,V004,2025-08-17 11:05:32.731026,N
1122,Product_1122,Merchandise,214.87,576,V001,2025-08-16 11:05:32.731028,Y
1123,Product_1123,Merchandise,332.0,745,V004,2025-08-15 11:05:32.731030,N
1124,Product_1124,Raw Material,495.87,885,V004,2025-08-14 11:05:32.731032,
1125,Product_1125,Raw Material,340.75,473,V001,2025-08-13 11:05:32.731034,Y
1126,Product_1126,Merchandise,68.36,763,V004,2025-08-12 11:05:32.731036,N
1127,Product_1127,Snacks,385.44,497,V002,2025-08-11 11:05:32.731038,
1128,Product_1128,Merchandise,406.72,746,V004,2025-08-10 11:05:32.731040,
1129,Product_1129,Beverages,495.03,667,V004,2025-08-09 11:05:32.731044,N
1130,Product_1130,Alcohol,56.21,960,V003,2025-08-08 11:05:32.731046,
1131,Product_1131,Snacks,66.14,984,V005,2025-08-07 11:05:32.731048,N
1132,Product_1132,Alcohol,45.65,450,V003,2025-08-06 11:05:32.731050,N
1133,Product_1133,Merchandise,372.08,885,V003,2025-08-05 11:05:32.731052,
1134,Product_1134,Beverages,393.58,351,V005,2025-08-04 11:05:32.731054,N
1135,Product_1135,Snacks,277.99,824,V001,2025-08-03 11:05:32.731056,Y
1136,Product_1136,Beverages,186.09,360,V002,2025-08-02 11:05:32.731058,N
1137,Product_1137,Merchandise,400.53,110,V003,2025-08-01 11:05:32.731060,
1138,Product_1138,Beverages,379.02,215,V002,2025-07-31 11:05:32.731062,Y
1139,Product_1139,Merchandise,202.25,311,V001,2025-07-30 11:05:32.731064,N
1140,Product_1140,Alcohol,21.48,867,V003,2025-07-29 11:05:32.731066,N
1141,Product_1141,Alcohol,71.74,786,V004,2025-07-28 11:05:32.731068,Y
1142,Product_1142,Merchandise,374.19,253,V004,2025-07-27 11:05:32.731070,
1143,Product_1143,Merchandise,336.89,887,V004,2025-07-26 11:05:32.731072,Y
1144,Product_1144,Alcohol,154.26,219,V001,2025-07-25 11:05:32.731074,
1145,Product_1145,Snacks,490.47,226,V005,2025-07-24 11:05:32.731076,N
1146,Product_1146,Snacks,347.54,923,V005,2025-07-23 11:05:32.731078,Y
1147,Product_1147,Merchandise,107.84,918,V002,2025-07-22 11:05:32.731080,Y
1148,Product_1148,Merchandise,461.26,573,V004,2025-07-21 11:05:32.731081,N
1149,Product_1149,Merchandise,322.45,905,V001,2025-07-20 11:05:32.731084,
1150,Product_1150,Raw Material,330.61,986,V004,2025-07-19 11:05:32.731086,
1151,Product_1151,Merchandise,115.82,416,V003,2025-07-18 11:05:32.731088,N
1152,Product_1152,Beverages,172.34,378,V005,2025-07-17 11:05:32.731090,Y
1153,Product_1153,Alcohol,143.28,704,V005,2025-07-16 11:05:32.731092,
1154,Product_1154,Merchandise,20.97,497,V005,2025-07-15 11:05:32.731093,
1155,Product_1155,Snacks,240.42,315,V005,2025-07-14 11:05:32.731095,Y
1156,Product_1156,Merchandise,207.15,811,V002,2025-07-13 11:05:32.731097,Y
1157,Product_1157,Snacks,324.7,512,V003,2025-07-12 11:05:32.731099,N
1158,Product_1158,Snacks,416.95,522,V004,2025-07-11 11:05:32.731101,N
1159,Product_1159,Merchandise,489.02,496,V002,2025-07-10 11:05:32.731103,
1160,Product_1160,Raw Material,263.75,821,V004,2025-07-09 11:05:32.731105,N
1161,Product_1161,Beverages,94.7,502,V003,2025-07-08 11:05:32.731107,N
1162,Product_1162,Alcohol,374.15,581,V005,2025-07-07 11:05:32.731109,Y
1163,Product_1163,Merchandise,216.79,630,V002,2025-07-06 11:05:32.731111,
1164,Product_1164,Merchandise,221.73,673,V001,2025-07-05 11:05:32.731113,N
1165,Product_1165,Alcohol,247.61,866,V002,2025-07-04 11:05:32.731115,Y
1166,Product_1166,Beverages,310.37,130,V004,2025-07-03 11:05:32.731117,N
1167,Product_1167,Alcohol,31.68,95,V001,2025-07-02 11:05:32.731119,
1168,Product_1168,Beverages,181.77,488,V004,2025-07-01 11:05:32.731121,N
1169,Product_1169,Snacks,19.86,949,V004,2025-06-30 11:05:32.731123,N
1170,Product_1170,Alcohol,301.1,290,V004,2025-06-29 11:05:32.731125,Y
1171,Product_1171,Alcohol,122.7,868,V001,2025-06-28 11:05:32.731127,Y
1172,Product_1172,Snacks,298.01,275,V005,2025-06-27 11:05:32.731129,
1173,Product_1173,Alcohol,197.71,561,V002,2025-06-26 11:05:32.731133,N
1174,Product_1174,Beverages,74.29,342,V004,2025-06-25 11:05:32.731135,N
1175,Product_1175,Merchandise,187.24,918,V004,2025-06-24 11:05:32.731138,Y
1176,Product_1176,Snacks,291.85,662,V003,2025-06-23 11:05:32.731140,N
1177,Product_1177,Merchandise,484.81,705,V004,2025-06-22 11:05:32.731142,Y
1178,Product_1178,Alcohol,363.73,970,V005,2025-06-21 11:05:32.731143,Y
1179,Product_1179,Snacks,98.4,918,V003,2025-06-20 11:05:32.731145,N
1180,Product_1180,Snacks,432.51,561,V001,2025-06-19 11:05:32.731147,Y
1181,Product_1181,Alcohol,198.54,757,V001,2025-06-18 11:05:32.731149,
1182,Product_1182,Merchandise,277.67,632,V002,2025-06-17 11:05:32.731151,
1183,Product_1183,Raw Material,237.72,515,V001,2025-06-16 11:05:32.731153,
1184,Product_1184,Merchandise,283.86,50,V005,2025-06-15 11:05:32.731155,
1185,Product_1185,Snacks,294.9,507,V004,2025-06-14 11:05:32.731157,
1186,Product_1186,Beverages,220.37,766,V004,2025-06-13 11:05:32.731159,
1187,Product_1187,Merchandise,496.91,624,V002,2025-06-12 11:05:32.731161,
1188,Product_1188,Alcohol,421.19,602,V003,2025-06-11 11:05:32.731163,Y
1189,Product_1189,Beverages,80.81,128,V003,2025-06-10 11:05:32.731165,
1190,Product_1190,Raw Material,19.8,53,V004,2025-06-09 11:05:32.731167,Y
1191,Product_1191,Beverages,23.22,871,V001,2025-06-08 11:05:32.731169,N
1192,Product_1192,Alcohol,390.48,595,V001,2025-06-07 11:05:32.731171,Y
1193,Product_1193,Snacks,236.89,933,V003,2025-06-06 11:05:32.731173,
1194,Product_1194,Alcohol,14.9,857,V003,2025-06-05 11:05:32.731175,N
1195,Product_1195,Raw Material,489.85,402,V004,2025-06-04 11:05:32.731177,
1196,Product_1196,Alcohol,486.47,458,V005,2025-06-03 11:05:32.731179,N
1197,Product_1197,Raw Material,404.42,184,V001,2025-06-02 11:05:32.731181,N
1198,Product_1198,Snacks,444.15,573,V001,2025-06-01 11:05:32.731183,N
1199,Product_1199,Alcohol,483.34,31,V002,2025-05-31 11:05:32.731185,Y
1200,Product_1200,Merchandise,326.28,580,V002,2025-05-30 11:05:32.731187,Y
1201,Product_1201,Alcohol,202.84,906,V003,2025-05-29 11:05:32.731189,Y
1202,Product_1202,Alcohol,181.49,462,V004,2025-05-28 11:05:32.731191,
1203,Product_1203,Raw Material,462.04,902,V004,2025-05-27 11:05:32.731193,
1204,Product_1204,Alcohol,152.48,126,V005,2025-05-26 11:05:32.731195,N
1205,Product_1205,Raw Material,13.03,520,V002,2025-05-25 11:05:32.731197,N
1206,Product_1206,Snacks,435.35,641,V005,2025-05-24 11:05:32.731199,Y
1207,Product_1207,Alcohol,302.98,630,V002,2025-05-23 11:05:32.731201,N
1208,Product_1208,Merchandise,45.4,549,V002,2025-05-22 11:05:32.731203,Y
1209,Product_1209,Merchandise,157.16,486,V002,2025-05-21 11:05:32.731205,N
1210,Product_1210,Snacks,162.75,808,V005,2025-05-20 11:05:32.731207,N
1211,Product_1211,Raw Material,370.13,561,V004,2025-05-19 11:05:32.731209,Y
1212,Product_1212,Merchandise,279.87,11,V002,2025-05-18 11:05:32.731211,
1213,Product_1213,Beverages,409.9,105,V003,2025-05-17 11:05:32.731213,N
1214,Product_1214,Merchandise,82.94,979,V004,2025-05-16 11:05:32.731215,
1215,Product_1215,Beverages,496.04,128,V004,2025-05-15 11:05:32.731217,N
1216,Product_1216,Snacks,72.03,227,V001,2025-05-14 11:05:32.731219,
1217,Product_1217,Beverages,432.86,655,V004,2025-05-13 11:05:32.731221,Y
1218,Product_1218,Alcohol,429.58,-1,V001,2025-05-12 11:05:32.731223,
1219,Product_1219,Beverages,97.25,978,V001,2025-05-11 11:05:32.731225,N
1220,Product_1220,Snacks,170.15,606,V002,2025-05-10 11:05:32.731227,N
1221,Product_1221,Snacks,75.48,762,V002,2025-05-09 11:05:32.731229,
1222,Product_1222,Alcohol,356.15,877,V004,2025-05-08 11:05:32.731231,Y
1223,Product_1223,Raw Material,328.05,29,V001,2025-05-07 11:05:32.731233,N
1224,Product_1224,Beverages,233.94,998,V001,2025-05-06 11:05:32.731235,
1225,Product_1225,Alcohol,451.5,676,V003,2025-05-05 11:05:32.731237,N
1226,Product_1226,Raw Material,337.49,937,V004,2025-05-04 11:05:32.731239,
1227,Product_1227,Alcohol,361.81,908,V001,2025-05-03 11:05:32.731241,
1228,Product_1228,Beverages,65.19,173,V005,2025-05-02 11:05:32.731243,N
1229,Product_1229,Alcohol,151.01,616,V003,2025-05-01 11:05:32.731245,
1230,Product_1230,Beverages,91.99,745,V004,2025-04-30 11:05:32.731247,Y
1231,Product_1231,Beverages,83.85,308,V005,2025-04-29 11:05:32.731249,N
1232,Product_1232,Snacks,28.81,286,V001,2025-04-28 11:05:32.731251,Y
1233,Product_1233,Beverages,497.24,307,V004,2025-04-27 11:05:32.731253,Y
1234,Product_1234,Alcohol,102.26,757,V005,2025-04-26 11:05:32.731255,Y
1235,Product_1235,Merchandise,206.47,936,V002,2025-04-25 11:05:32.731257,Y
1236,Product_1236,Beverages,53.68,750,V003,2025-04-24 11:05:32.731259,
1237,Product_1237,Raw Material,129.25,796,V001,2025-04-23 11:05:32.731261,N
1238,Product_1238,Beverages,491.57,194,V001,2025-04-22 11:05:32.731264,Y
1239,Product_1239,Beverages,481.38,622,V003,2025-04-21 11:05:32.731266,N
1240,Product_1240,Beverages,464.18,243,V005,2025-04-20 11:05:32.731268,
1241,Product_1241,Alcohol,403.25,131,V002,2025-04-19 11:05:32.731270,
1242,Product_1242,Alcohol,70.23,587,V002,2025-04-18 11:05:32.731272,
1243,Product_1243,Alcohol,40.11,510,V004,2025-04-17 11:05:32.731274,
1244,Product_1244,Snacks,61.51,150,V005,2025-04-16 11:05:32.731276,Y
1245,Product_1245,Beverages,237.93,603,V002,2025-04-15 11:05:32.731278,Y
1246,Product_1246,Merchandise,465.46,799,V002,2025-04-14 11:05:32.731280,
1247,Product_1247,Alcohol,188.93,600,V001,2025-04-13 11:05:32.731282,
1248,Product_1248,Alcohol,231.2,92,V001,2025-04-12 11:05:32.731284,N
1249,Product_1249,Raw Material,42.47,103,V001,2025-04-11 11:05:32.731286,
1250,Product_1250,Alcohol,148.81,321,V001,2025-04-10 11:05:32.731288,
1251,Product_1251,Raw Material,86.81,987,V005,2025-04-09 11:05:32.731290,Y
1252,Product_1252,Merchandise,444.92,25,V004,2025-04-08 11:05:32.731292,
1253,Product_1253,Merchandise,226.69,115,V004,2025-04-07 11:05:32.731294,N
1254,Product_1254,Merchandise,321.16,840,V001,2025-04-06 11:05:32.731296,Y
1255,Product_1255,Raw Material,19.13,445,V002,2025-04-05 11:05:32.731297,
1256,Product_1256,Alcohol,49.52,36,V004,2025-04-04 11:05:32.731299,
1257,Product_1257,Raw Material,295.71,984,V004,2025-04-03 11:05:32.731301,
1258,Product_1258,Snacks,148.07,282,V004,2025-04-02 11:05:32.731306,
1259,Product_1259,Alcohol,391.88,523,V001,2025-04-01 11:05:32.731308,
1260,Product_1260,Beverages,326.8,668,V004,2025-03-31 11:05:32.731310,N
1261,Product_1261,Beverages,411.1,562,V004,2025-03-30 11:05:32.731312,Y
1262,Product_1262,Beverages,205.4,184,V002,2025-03-29 11:05:32.731314,Y
1263,Product_1263,Raw Material,439.54,707,V002,2025-03-28 11:05:32.731316,
1264,Product_1264,Beverages,447.64,979,V005,2025-03-27 11:05:32.731318,Y
1265,Product_1265,Raw Material,335.37,49,V003,2025-03-26 11:05:32.731320,
1266,Product_1266,Beverages,222.14,826,V004,2025-03-25 11:05:32.731322,Y
1267,Product_1267,Alcohol,460.22,344,V004,2025-03-24 11:05:32.731324,
1268,Product_1268,Raw Material,251.7,803,V003,2025-03-23 11:05:32.731326,Y
1269,Product_1269,Beverages,269.9,233,V001,2025-03-22 11:05:32.731328,
1270,Product_1270,Alcohol,264.86,146,V001,2025-03-21 11:05:32.731330,N
1271,Product_1271,Merchandise,334.9,626,V002,2025-03-20 11:05:32.731332,N
1272,Product_1272,Snacks,432.86,176,V005,2025-03-19 11:05:32.731334,Y
1273,Product_1273,Beverages,489.18,175,V005,2025-03-18 11:05:32.731336,
1274,Product_1274,Beverages,307.49,582,V004,2025-03-17 11:05:32.731338,N
1275,Product_1275,Beverages,16.51,890,V003,2025-03-16 11:05:32.731340,
1276,Product_1276,Snacks,394.94,878,V001,2025-03-15 11:05:32.731342,Y
1277,Product_1277,Snacks,456.35,147,V003,2025-03-14 11:05:32.731344,Y
1278,Product_1278,Alcohol,418.67,71,V002,2025-03-13 11:05:32.731346,
1279,Product_1279,Beverages,175.55,404,V002,2025-03-12 11:05:32.731348,N
1280,Product_1280,Snacks,312.55,930,V004,2025-03-11 11:05:32.731350,Y
1281,Product_1281,Alcohol,186.36,20,V002,2025-03-10 11:05:32.731352,N
1282,Product_1282,Merchandise,481.89,945,V003,2025-03-09 11:05:32.731354,
1283,Product_1283,Alcohol,312.64,506,V002,2025-03-08 11:05:32.731356,
1284,Product_1284,Raw Material,152.23,558,V002,2025-03-07 11:05:32.731358,Y
1285,Product_1285,Alcohol,149.94,767,V002,2025-03-06 11:05:32.731360,
1286,Product_1286,Alcohol,283.85,25,V003,2025-03-05 11:05:32.731362,Y
1287,Product_1287,Snacks,226.28,312,V003,2025-03-04 11:05:32.731364,Y
1288,Product_1288,Beverages,198.79,820,V002,2025-03-03 11:05:32.731366,Y
1289,Product_1289,Raw Material,410.07,957,V003,2025-03-02 11:05:32.731368,N
1290,Product_1290,Beverages,248.91,370,V004,2025-03-01 11:05:32.731370,N
1291,Product_1291,Raw Material,445.21,783,V004,2025-02-28 11:05:32.731372,
1292,Product_1292,Snacks,227.17,191,V004,2025-02-27 11:05:32.731374,N
1293,Product_1293,Snacks,99.84,348,V002,2025-02-26 11:05:32.731376,N
1294,Product_1294,Beverages,257.54,836,V001,2025-02-25 11:05:32.731378,Y
1295,Product_1295,Merchandise,466.08,391,V003,2025-02-24 11:05:32.731380,
1296,Product_1296,Snacks,430.29,50,V004,2025-02-23 11:05:32.731382,Y
1297,Product_1297,Merchandise,231.58,136,V002,2025-02-22 11:05:32.731384,
1298,Product_1298,Snacks,492.24,193,V003,2025-02-21 11:05:32.731386,
1299,Product_1299,Merchandise,118.07,593,V001,2025-02-20 11:05:32.731388,N
1300,Product_1300,Beverages,219.84,111,V004,2025-02-19 11:05:32.731390,N
1301,Product_1301,Beverages,97.79,893,V004,2025-02-18 11:05:32.731392,N
1302,Product_1302,Raw Material,43.27,663,V005,2025-02-17 11:05:32.731394,Y
1303,Product_1303,Raw Material,219.27,876,V005,2025-02-16 11:05:32.731396,
1304,Product_1304,Raw Material,103.68,700,V003,2025-02-15 11:05:32.731398,N
1305,Product_1305,Raw Material,201.46,692,V002,2025-02-14 11:05:32.731400,Y
1306,Product_1306,Snacks,330.14,121,V003,2025-02-13 11:05:32.731402,N
1307,Product_1307,Merchandise,116.76,46,V005,2025-02-12 11:05:32.731404,Y
1308,Product_1308,Beverages,386.93,363,V005,2025-02-11 11:05:32.731406,Y
1309,Product_1309,Merchandise,355.44,718,V004,2025-02-10 11:05:32.731409,Y
1310,Product_1310,Raw Material,59.01,64,V005,2025-02-09 11:05:32.731411,
1311,Product_1311,Raw Material,221.05,777,V001,2025-02-08 11:05:32.731413,Y
1312,Product_1312,Snacks,481.83,379,V003,2025-02-07 11:05:32.731415,Y
1313,Product_1313,Alcohol,455.14,816,V004,2025-02-06 11:05:32.731417,Y
1314,Product_1314,Beverages,72.71,585,V005,2025-02-05 11:05:32.731419,Y
1315,Product_1315,Alcohol,108.06,480,V002,2025-02-04 11:05:32.731421,Y
1316,Product_1316,Beverages,372.97,44,V004,2025-02-03 11:05:32.731422,
1317,Product_1317,Snacks,246.15,565,V004,2025-02-02 11:05:32.731424,N
1318,Product_1318,Merchandise,496.15,334,V005,2025-02-01 11:05:32.731426,N
1319,Product_1319,Raw Material,488.79,780,V001,2025-01-31 11:05:32.731428,
1320,Product_1320,Beverages,432.53,485,V004,2025-01-30 11:05:32.731430,N
1321,Product_1321,Alcohol,453.16,876,V005,2025-01-29 11:05:32.731432,
1322,Product_1322,Alcohol,18.45,352,V002,2025-01-28 11:05:32.731434,N
1323,Product_1323,Snacks,331.64,756,V003,2025-01-27 11:05:32.731437,
1324,Product_1324,Beverages,257.03,984,V003,2025-01-26 11:05:32.731439,N
1325,Product_1325,Beverages,400.83,104,V001,2025-01-25 11:05:32.731441,Y
1326,Product_1326,Merchandise,279.88,549,V004,2025-01-24 11:05:32.731442,N
1327,Product_1327,Snacks,358.68,147,V005,2025-01-23 11:05:32.731444,N
1328,Product_1328,Beverages,472.73,573,V002,2025-01-22 11:05:32.731446,Y
1329,Product_1329,Raw Material,383.64,276,V004,2025-01-21 11:05:32.731448,Y
1330,Product_1330,Raw Material,89.31,720,V003,2025-01-20 11:05:32.731450,
1331,Product_1331,Merchandise,342.71,276,V004,2025-01-19 11:05:32.731452,N
1332,Product_1332,Beverages,150.39,170,V004,2025-01-18 11:05:32.731454,Y
